hotel_id,type,name,address,rooms,grade,district,aga_division,local_authority,longitude,latitude
HOTEL_0639,Guest Houses,HIGH CLIFFE HOTEL,"NO.15,STATION ROAD,,HAPUTHALE",9,FOUR,Badulla,Haputale,Haputale Divisional Secretariat,80.959676,6.768795
HOTEL_0640,Guest Houses,HAMILTON DELI,"NO:2,ASARAPPA ROAD,NEGAMBO",8,FIVE,Gampaha,Negombo,Negombo Divisional Secretariat,79.838128,7.21129
HOTEL_0641,Guest Houses,HOTEL COCKPIT,"660/36,ARALIYA LANE,LIYANAGEMULLA,SEEDUWA.",5,FOUR,Gampaha,Gampaha,Gampaha Divisional Secretariat,79.873992,7.14831
HOTEL_0642,Guest Houses,HOTEL CROWN FIELD,"KURUNEGALA ROAD,NARAMMALA",8,FIVE,Kurunegala,Kurunegala,Narammala Divisional Secretariat,80.217317,7.43409
HOTEL_0643,Guest Houses,HOTEL FLOWER GARDEN,"NO.14,WELLA DEWALA ROAD,UNAWATUNA,GALLE",25,FIVE,Galle,Galle,Galle Divisional Secretariat,80.248556,6.013972
HOTEL_0644,Guest Houses,JAFFNA FORT,"NO. 56, 1ST CROSS STREET, JAFFNA",6,FOUR,Jaffna,Jaffna,Jaffna Divisional Secretariat,80.00808,9.663071
HOTEL_0645,Guest Houses,HOTEL GANGAADDARA,"NO.11/A.DEWENI RAJASINGHE MAWATHA,GETABE,KANDY",13,FIVE,Kandy,Kandy,Kandy Divisional Secretariat,80.607066,7.274586
HOTEL_0646,Guest Houses,HOTEL NEW SEA LORD,"3RD MILE POST,UPPAVELI,TRINCOMALEE",25,FOUR,Trincomalee,Trincomalee,Trincomalee Divisional Secretariat,81.220295,8.60287
HOTEL_0647,Guest Houses,KANDY PANORAMA RESORT,"NO. 352/H, DHARMARAJA MAWATHA, KANDY",10,FIVE,Kandy,Kandy,Gagawata,80.655409,7.287736
HOTEL_0648,Guest Houses,HORIZON HILL HOTEL,"NO.33,GOTABAYA MAWATHA,HUNUPITIYA,WATTALA",12,FIVE,Gampaha,Kelaniya Pradeshiya Sabha,Kelaniya Divisional Secretariat,79.906688,6.982057
HOTEL_0649,Guest Houses,HOTEL BABIE & CATERS,"DALADAGAMA,BALALLA,MAHO",18,FOUR,Kurunegala,Kurunegala,Kurunegala Divisional Secretariat,80.249934,7.810201
HOTEL_0650,Guest Houses,HEMADAN,"NO:25,RIVER AVENUE,ALUTHGAMA",10,FIVE,Kalutara,Beruwala Pradeshiya Sabha,Beruwala Divisional Secretariat,79.997708,6.42923
HOTEL_0651,Guest Houses,KURULUKELAY INN,"NO. 17, ALBERT SENEVIRATNA MAWATHA, KEGALLE",8,FOUR,Kegalle,Kegalle,Kegalle Divisional Secretariat,80.334834,7.252171
HOTEL_0652,Guest Houses,MONTY GUEST,"C 32,1ST AVEUNE,AMPARA",42,FIVE,Ampara,Ampara,Ampara Divisional Secretariat,81.67794,7.286339
HOTEL_0653,Guest Houses,HOTEL BRIDGE VIEW,"63/24,NEW DUTCH BAR ROAD,KALLADY,BATTICALOA",21,FOUR,Batticaloa,Batticaloa,Batticaloa Divisional Secretariat,81.710739,7.721854
HOTEL_0654,Guest Houses,HOTEL HESHANI,"NO:176/1,WALAWWATTE,KEGALLE",8,FOUR,Kegalle,Kegalle,Kegalle Divisional Secretariat,80.459473,7.140422
HOTEL_0655,Guest Houses,KURUNDUWATTA HOLIDAY RESORT,"THOTUPOLA ROAD, PITIGALA",20,FIVE,Galle,Galle,Niyagama Divisional Secretariat,80.222378,6.343892
HOTEL_0656,Guest Houses,NIPUNA REST,"NO.821,MEEPITIYA,KEGALLE.",5,FIVE,Kegalle,Kegalle,Kegalle Divisional Secretariat,80.367042,7.251071
HOTEL_0657,Guest Houses,THE NATURE'S RESORT,"NO. 80, PAHALA MABULA, MAWALGAMA ROAD, WAGA",8,FIVE,Colombo,Colombo,Hanwella,80.127534,6.908823
HOTEL_0658,Guest Houses,REST HOUSE - MATHUGAMA,"NO.53,ALUTHGAMA ROAD,MATHUGAMA",14,FIVE,Kalutara,Mathugama Pradeshiya Sabha,Mathugama Divisional Secretariat,80.116599,6.520195
HOTEL_0659,Guest Houses,HOTEL NEPTUNE BAY,"YADDHIMULLA ROAD, UNAWATUNA, GALLE",12,FIVE,Galle,Habaraduwa,Habaraduwa Divisional Secretariat,80.245628,6.009925
HOTEL_0660,Guest Houses,LAKE SIDE TOURIST INN,"AKURUGODA,THISSAMAHARAMA",22,FIVE,Hambantota,Thissamaharama,Thissamaharama Divisional Secretariat,81.292314,6.284998
HOTEL_0661,Guest Houses,LAKE REACH HOTEL,"NO.59, LOUIS PEIRIS MAWATHA, KANDY.",8,FOUR,Kandy,Kandy,Kandy Divisional Secretariat,80.647375,7.289019
HOTEL_0662,Guest Houses,OASIS BEACH HOTEL,"NO.10/26,PORUTOTA ROAD,NEGOMBO",6,FIVE,Gampaha,Gampaha,Negombo Divisional Secretariat,79.841541,7.23972
HOTEL_0663,Guest Houses,LOTUS REST,"162/19, WATHUREGAMA, AHUNGALLA",20,FIVE,Galle,Galle,Balapitiya Divisional Secretariat,80.035455,6.305251
HOTEL_0664,Guest Houses,PABASARA GUEST HOUSE,"PANSAL WATTE, BANGAMA ROAD, AKURESSA",5,FOUR,Matara,Akuressa Pradeshiya Sabha,Akuressa Divisional Secretariat,80.474981,6.101911
HOTEL_0665,Guest Houses,PABASARA REST,"NO. 4/3, KOSWATTA, KIRIBATHGODA, KELANIYA",10,FOUR,Gampaha,Kelaniya Pradeshiya Sabha,Kelaniya Divisional Secretariat,79.926224,6.976251
HOTEL_0666,Guest Houses,PAIVAS CITY HOTEL,"NO. 37, YATINUWARA VEEDIYA, KANDY",5,FIVE,Kandy,Kandy,Ganewatta Divisional Secretariat,80.635766,7.293828
HOTEL_0667,Guest Houses,PARADISE INN,"NO. 8, DANGOLLA ROAD,PERADENIYA",19,FIVE,Kandy,Kandy,Gagawata,80.60789,7.269178
HOTEL_0668,Guest Houses,PARADISE REST,"NO. 76, REST HOUSE ROAD, NIKAWERATIYA.",14,FOUR,Kurunegala,Nikaweratiya Pradeshiya Sabha,Nikaweratiya Divisional Secretariat,80.120044,7.751355
HOTEL_0669,Guest Houses,PULEY S BALMORAL HOTEL,"OPPOSITE TO RAILWAY STATION ,VAUNIYA.",14,FIVE,Vavuniya,Vavuniya,Vavuniya,80.494247,8.753839
HOTEL_0670,Guest Houses,HOTEL PARADISO,"406,GALLE ROAD,HIKKADUWA",1,FOUR,Galle,Hikkaduwa,Hikkaduwa Divisional Secretariat,80.102908,6.128799
HOTEL_0671,Guest Houses,HOTEL RANDIV,"562/1A,KANDY RD,MEEPITIYA,KEGALLE",5,FIVE,Kegalle,Kegalle,Kegalle Divisional Secretariat,80.384047,7.281209
